IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
104.27.38.145,4,4,0.00,156.71,32.49
104.19.13.246,4,4,0.00,155.53,31.91
23.227.39.248,4,4,0.00,156.23,31.67
198.41.202.91,4,4,0.00,157.11,31.52
172.64.68.114,4,4,0.00,152.54,31.26
162.159.207.42,4,4,0.00,156.03,30.24
104.19.202.41,4,4,0.00,156.95,30.14
104.19.0.204,4,4,0.00,156.96,28.90
162.159.253.26,4,4,0.00,155.04,28.51
172.67.25.80,4,4,0.00,155.96,0.74
