IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
104.18.182.47,4,4,0.00,162.39,32.35
104.17.132.119,4,4,0.00,159.37,31.42
104.19.148.122,4,4,0.00,162.32,31.30
104.16.252.13,4,4,0.00,159.94,30.35
104.17.238.119,4,4,0.00,163.03,29.58
104.16.179.86,4,4,0.00,159.16,29.09
104.18.242.240,4,4,0.00,163.30,28.82
104.17.75.31,4,4,0.00,162.83,28.63
104.19.159.101,4,4,0.00,163.40,27.77
104.16.113.183,4,4,0.00,160.48,16.88
