IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
104.24.197.229,4,4,0.00,152.91,31.75
172.67.62.58,4,4,0.00,152.11,30.69
104.23.100.72,4,4,0.00,151.51,29.77
198.41.196.26,4,4,0.00,149.08,24.50
172.67.43.75,4,4,0.00,152.84,21.25
104.22.79.224,4,4,0.00,151.71,20.94
172.67.35.138,4,4,0.00,152.91,16.02
172.67.107.178,4,4,0.00,149.18,15.35
172.65.200.87,4,4,0.00,152.40,0.00
104.24.132.50,4,4,0.00,152.95,0.00
